No,Question,Answer,Checking Result,Source
,"Bagaimana ""Pengaduan"" tentang pelanggaran Pelindungan Data Pribadi diajukan?","Pengaduan dapat diajukan secara tertulis atau secara elektronik kepada Lembaga PDP dengan menyebutkan identitas pengadu, permasalahan, dan bukti yang terkait.","Correct 
(3) Aduan atau laporan sebagaimana dimaksud pada ayat (1) huruf a diajukan secara tertulis yang memuat paling sedikit informasi: 
a. identitas pihak yang mengadukan atau melaporkan;
 b. identitas Pengendali Data Pribadi dan/atau Prosesor Data Pribadi yang diadukan atau dilaporkan; 
c. dugaan pelanggaran administratif yang dilakukan disertasi dengan ketentuan pasal yang dilanggar; dan 
d. keterangan dan/atau bukti yang memuat fakta","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 131  Paragraph 1
"
,"Apa yang dimaksud dengan ""Pelindungan Kepentingan Vital"" dalam konteks Pelindungan Data Pribadi?","Pelindungan Kepentingan Vital merujuk pada tindakan pemrosesan Data Pribadi yang dilakukan untuk melindungi keamanan, kesehatan, atau kelangsungan hidup Subjek Data Pribadi.","Correct 
Pemrosesan Data Pribadi berdasarkan pemenuhan pelindungan kepentingan vital sebagaimana dimaksud dalam Pasal 60 dilakukan dalam hal:
a. terdapat ancaman terhadap hidup, fisik, dan/atau properti/aset Subjek Data Pribadi atau pihak ketiga lainnya;","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 38  Paragraph 3
"
,"Bagaimana ""Penghapusan Data Pribadi"" dilakukan?",Penghapusan Data Pribadi dilakukan dengan menghapus Data Pribadi dari sistem atau basis data secara permanen dan menghilangkan semua salinan cadangan.,"Correct 
(3) Penghapusan Data Pribadi sebagaimana dimaksud pada ayat (1) dilakukan dengan cara menghapus Data Pribadi sehingga Data Pribadi tersebut tidak lagi dapat diakses oleh selain Pengendali Data Pribadi.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 56  Paragraph 1
"
,"Apa yang dimaksud dengan ""Pemusnahan Data Pribadi""?",Pemusnahan Data Pribadi merujuk pada proses secara permanen menghilangkan Data Pribadi dari semua sistem dan media penyimpanan yang digunakan.,"Correct 
melakukan penghapusan atau pemusnahan Data Pribadi di semua lokasi penyimpanan Data Pribadi;","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 13 Paragraph 1
"
,"Bagaimana ""Pelindungan Data Pribadi"" dijamin dalam ""Transfer Data Pribadi""?",Pelindungan Data Pribadi dijamin dalam transfer dengan memastikan bahwa penerima Data Pribadi di negara tujuan memiliki tingkat pelindungan yang setara atau lebih tinggi.,"Correct 
Dalam melakukan transfer Data Pribadi sebagaimana dimaksud dalam Pasal 181, Pengendali Data Pribadi wajib memastikan negara tempat kedudukan Pengendali Data Pribadi dan/atau Prosesor Data Pribadi yang menerima transfer Data Pribadi memiliki tingkat Pelindungan Data Pribadi yang setara atau lebih tinggi dari yang diatur dalam peraturan perundangundangan di bidang Pelindungan Data Pribadi.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page  133 Paragraph 2
"
,"Apa yang dimaksud dengan ""Kerja Sama Internasional"" dalam konteks Pelindungan Data Pribadi?",Kerja Sama Internasional merujuk pada kegiatan kerja sama antara negara-negara atau lembaga internasional dalam bidang Pelindungan Data Pribadi.,"Correct 
Yang dimaksud dengan “perjanjian internasional” merupakan perjanjian antar-negara yang bersifat bilateral, multirateral atau regional dalam bidang Pelindungan Data Pribadi.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 30 Paragraph 1
"
,"Apa yang dimaksud dengan ""Pelindungan Data Pribadi yang Memadai dan Bersifat Mengikat""?",Pelindungan Data Pribadi yang Memadai dan Bersifat Mengikat adalah tata cara atau kebijakan yang mengikat dan harus dipatuhi oleh Pengendali dan Prosesor Data Pribadi.,"Correct 
(2) Pelindungan Data Pribadi yang memadai dan bersifat mengikat sebagaimana dimaksud pada ayat (1) dapat berupa: 
a. perjanjian antarnegara tempat kedudukan Pengendali Data Pribadi dan/atau Prosesor Data Pribadi yang melakukan transfer Data Pribadi dengan negara tempat kedudukan Pengendali Data Pribadi dan/atau Prosesor Data Pribadi yang menerima transfer Data Pribadi; 
b. standar klausul kontrak Pelindungan Data Pribadi; 
c. peraturan perusahaan yang mengikat untuk suatu grup perusahaan; dan/atau 
d. instrumen Pelindungan Data Pribadi yang memadai dan mengikat lain yang diakui oleh Lembaga PDP.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 115  Paragraph 2
"
,"Apa yang dimaksud dengan ""Penggunaan Data Pribadi untuk Kepentingan Umum""?","Penggunaan Data Pribadi untuk Kepentingan Umum merujuk pada penggunaan Data Pribadi untuk tujuan yang berada dalam kepentingan masyarakat secara luas, seperti kesehatan publik atau keselamatan.","Correct 
Yang dimaksud dengan “kepentingan umum” merupakan kepentingan bangsa dan negara dan/atau kepentingan masyarakat luas.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 34 Paragraph 1
"
,"Bagaimana ""Pengawasan"" dilakukan pada Prosesor Data Pribadi?",Pengawasan pada Prosesor Data Pribadi dilakukan dengan memastikan bahwa mereka beroperasi sesuai dengan perintah Pengendali Data Pribadi dan peraturan perundang-undangan yang berlaku.,"Correct 
(1) Pengendali Data Pribadi wajib melakukan pengawasan terhadap setiap pihak yang terlibat dalam pemrosesan Data Pribadi di bawah kendali Pengendali Data Pribadi.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page  76 Paragraph 3
"
,"Apa yang dimaksud dengan ""Penghapusan Data Pribadi""?",Penghapusan Data Pribadi merujuk pada proses menghapus Data Pribadi dari sistem atau basis data setelah Data Pribadi tidak lagi diperlukan untuk tujuan yang telah ditentukan.,"Correct 
1. melakukan penghapusan atau pemusnahan Data Pribadi sesuai dengan ketentuan peraturan perundang-undangan; 
2. melakukan penghapusan atau pemusnahan Data Pribadi di semua lokasi penyimpanan Data Pribadi; 
3. menyimpan bukti penghapusan atau pemusnahan Data Pribadi dalam bentuk berita acara penghapusan; dan 
4. menyampaikan bukti penghapusan atau pemusnahan Data Pribadi kepada Subjek Data Pribadi; dan","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page  13 Paragraph 1
"
,"Bagaimana ""Pelindungan Data Pribadi"" dipelajari dan diaplikasikan dalam ""Penggunaan Data Pribadi""?","Pelindungan Data Pribadi dipelajari dan diaplikasikan dengan memahami prinsip-prinsip dan tata tertentu yang berlaku, serta menerapkannya dalam proses pengumpulan, penyimpanan, dan penggunaan Data Pribadi.","Correct 
f. menerapkan prinsip-prinsip pemrosesan Data Pribadi dalam hal pemerolehan dan pengumpulan Data Pribadi sesuai ketentuan peraturan perundang-undangan.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page  9 Paragraph 2
"
,"Apa yang dimaksud dengan ""asas pelindungan"" dalam konteks Undang-Undang ini?","""Asas pelindungan"" merujuk pada prinsip bahwa setiap pemrosesan Data Pribadi dilakukan dengan memberikan pelindungan kepada Subjek Data Pribadi atas Data Pribadinya agar tidak disalahgunakan.","Correct 
Yang dimaksud dengan ""asas pelindungan"" adalah bahwa setiap pemrosesan Data Pribadi dilakukan dengan memberikan pelindungan kepada Subjek Data Pribadi atas Data Pribadinya dan Data Pribadi tersebut agar tidak disalahgunakan.","UU Nomor 27 Tahun 2022
Page 36 Paragraph 3
Pasal 3 Huruf a
"
,"Apa yang dimaksud dengan ""asas kepastian hukum"" dalam Undang-Undang ini?","""Asas kepastian hukum"" menunjukkan bahwa setiap pemrosesan Data Pribadi dilakukan berdasarkan landasan hukum untuk mewujudkan Pelindungan Data Pribadi dan mendapatkan pengakuan hukum di dalam dan di luar pengadilan.","Correct 
Yang dimaksud dengan ""asas kepastian hukum"" adalah bahwa setiap pemrosesan Data Pribadi dilakukan berdasarkan landasan hukum untuk mewujudkan Pelindungan Data Pribadi serta segala sesuatu yang mendukung penyelenggaraannya sehingga mendapatkan pengakuan hukum di dalam dan di luar pengadilan.","UU Nomor 27 Tahun 2022
Page 37 Paragraph 1
Pasal Huruf b
"
,"Apa yang dimaksud dengan ""asas kepentingan umum"" dalam Undang-Undang ini?","""Asas kepentingan umum"" menunjukkan bahwa dalam Pelindungan Data Pribadi harus memperhatikan kepentingan umum atau masyarakat secara luas, termasuk negara, pertahanan, dan keamanan nasional.","Correct 
Yang dimaksud dengan ""asas kepentingan umum"" adalah bahwa dalam menegakkan Pelindungan Data Pribadi harus memperhatikan kepentingan umum atau masyarakat secara luas. Kepentingan umum tersebut antara lain kepentingan penyelenggaraan negara dan pertahanan dan keamanan nasional.","UU Nomor 27 Tahun 2022
Page 37 Paragraph 1
Pasal Huruf c
"
,Apa yang harus dilakukan oleh Pelapor untuk menjamin keamanan dan ketersediaan data Laporan Debitur?,"Pelapor harus memiliki kebijakan dan prosedur tertulis tentang pemeliharaan dan pengamanan sistem dan data, termasuk langkah yang dilakukan dalam rangka memastikan kelengkapan, keakuratan, kekinian, keutuhan, dan ketepatan waktu Laporan Debitur dan/atau koreksi Laporan Debitur.","Correct 
Pelapor wajib memiliki kebijakan dan prosedur tertulis mengenai penyampaian Laporan Debitur dan/atau koreksi Laporan Debitur yang paling sedikit mencakup:
a. wewenang dan tanggung jawab pegawai yang melakukan verifikasi dan menyampaikan Laporan Debitur dan/atau koreksi Laporan Debitur kepada OJK;
b. langkah yang dilakukan dalam rangka pemeliharaan dan pengamanan sistem dan data;
c. langkah yang dilakukan dalam rangka memastikan kelengkapan, keakuratan, kekinian, keutuhan, dan ketepatan waktu Laporan Debitur dan/atau koreksi Laporan Debitur;","SAL POJK SLIK
Page 17 Paragraph 2
"
,Bagaimana sanksi yang berlaku untuk Pelapor yang melanggar ketentuan lebih dari satu dalam Peraturan ini?,"Pelapor yang melanggar ketentuan lebih dari satu dalam Peraturan ini, selain dikenakan sanksi administratif berupa teguran tertulis atau peringatan tertulis, denda, dan/atau sanksi administratif lainnya, dapat dikenakan sanksi administratif berupa penurunan tingkat kesehatan, pembekuan kegiatan usaha tertentu, penilaian kemampuan dan kepatutan, atau sanksi administratif lain sesuai dengan ketentuan peraturan perundang-undangan.","Correct 
Pelapor  sebagaimana  dimaksud  dalam  Pasal  2,  yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 7 huruf b, Pasal 8 ayat (1), Pasal 8 ayat (2) huruf a, Pasal 8 ayat (2) huruf b, Pasal 9 ayat (1), Pasal 9 ayat (2), Pasal 9 ayat (4), Pasal 10 ayat (3), dan Pasal 15 ayat (4), selain dikenakan sanksi administratif berupa teguran tertulis atau peringatan tertulis, denda, dan/atau sanksi administratif lainnya sebagaimana dimaksud  dalam Pasal 32, Pasal 33, Pasal 34, dan/atau Pasal 35, dapat dikenakan sanksi administratif berupa: 
a.    penurunan tingkat kesehatan;
b.    pembekuan kegiatan usaha tertentu; 
c.    penilaian kemampuan dan kepatutan; dan/atau 
d.    sanksi administratif lain, sesuai dengan ketentuan peraturan perundang-undangan.","SAL POJK SLIK
Page 23 Paragraph 3
"
,Apakah ada ketentuan peraliihan untuk Pelapor yang sudah ada sebelum Peraturan ini berlaku?,"Ya,裴lapor yang sudah ada sebelum Peraturan ini berlaku harus menyampaikan Laporan Debitur kepada OJK mulai dari Laporan Debitur bulan Maret 2017 dan bulan April 2017 yang disampaikan paling lambat bulan Mei 2017, dan daftar pegawai pelaksana dan/atau pejabat sebagaimana dimaksud dalam Pasal 30 ayat (1) kepada OJK paling lama 3 (tiga) bulan sejak Peraturan OJK ini mulai berlaku.","Correct 
(1) Bank Umum, BPR, BPRS, Lembaga Pembiayaan yang memberikan Fasilitas Penyediaan Dana, dan Lembaga Jasa Keuangan Lainnya yang memberikan Fasilitas Penyediaan Dana, yang pada saat Peraturan OJK ini berlaku, telah menjadi Pelapor Sistem Informasi Debitur sebagaimana dimaksud dalam Peraturan Bank Indonesia Nomor 9/14/PBI/2007 tentang Sistem Informasi Debitur sebagaimana telah diubah dengan Peraturan Bank Indonesia Nomor 18/21/PBI/2016 tentang Perubahan atas Peraturan Bank Indonesia Nomor 9/14/PBI/2007 tentang Sistem Informasi Debitur menyampaikan:
a. Laporan Debitur kepada OJK mulai Laporan Debitur bulan Maret 2017 dan bulan April 2017 yang disampaikan paling lambat bulan Mei 2017; dan 
b. daftar pihak yang ditunjuk sebagai pegawai pelaksana dan/atau pejabat sebagaimana dimaksud dalam Pasal 30 ayat (1) kepada OJK paling lama 3 (tiga) bulan sejak Peraturan OJK ini mulai berlaku.
Note
The answer is correct; however, there is a misspelling using the Chinese language character '裴'.","SAL POJK SLIK
Page 24 Paragraph 3
"
,Bagaimana ketentuan tentang pelaksanaan pengawasan oleh OJK terhadap Pelapor?,OJK melakukan pengawasan secara langsung dan/atau tidak langsung terkait pelaksanaan SLIK terhadap Pelapor sebagaimana dimaksud dalam Pasal 3. Pelapor wajib memberikan informasi kepada OJK dalam rangka pelaksanaan pengawasan.,"Correct 
(1) OJK melakukan pengawasan secara langsung dan/atau pengawasan secara tidak langsung terkait pelaksanaan SLIK terhadap Pelapor sebagaimana dimaksud dalam Pasal 2. 
(2) OJK berwenang melakukan pengawasan secara langsung dan/atau pengawasan secara tidak langsung terkait pelaksanaan SLIK terhadap Pelapor sebagaimana dimaksud dalam Pasal 3.","SAL POJK SLIK
Page 19 Paragraph 2
"
,Kapan mulai berlaku Peraturan OJK ini?,Peraturan OJK ini mulai berlaku pada tanggal diundangkan.,"Correct 
Peraturan OJK ini mulai berlaku pada tanggal diundangkan.

Note
The answer matches what is stated in the document; however, additional detailed information needs to be included.","SAL POJK SLIK
Page 26 Paragraph 3
"
,Bagaimana Lembaga PDP dapat mengambil perhatian atas aduan atau laporan tentang pelanggaran Pelindungan Data Pribadi?,"Lembaga PDP dapat mengambil perhatian atas aduan atau laporan melalui proses pengaduan atau pelaporan dugaan pelanggaran, yang kemudian akan diverifikasi, dan jika perlu, dilakukan pemeriksaan lanjutan dan ditindaklanjuti sesuai dengan tata cara yang ditetapkan.","Correct 
Pasal 216 
(1) Dugaan terhadap pelanggaran Pelindungan Data Pribadi dapat berasal dari: a. aduan atau laporan; dan/atau b. hasil pengawasan Pelindungan Data Pribadi.

Pasal 217 
Lembaga PDP melakukan pemeriksaan pendahuluan terhadap dokumen pengaduan atau pelaporan sebagaimana dimaksud dalam Pasal 215 huruf a paling lama 3 (tiga) hari kerja sejak diterimanya pengaduan atau pelaporan.

Pasal 218 
Dalam hal dugaan pelanggaran Pelindungan Data Pribadi berasal dari hasil pengawasan Pelindungan Data Pribadi sebagaimana dimaksud dalam Pasal 216 ayat (1) huruf b, Lembaga PDP menindaklanjuti dengan melakukan pemeriksaan lanjutan.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 131-132
"
,Apa yang harus dilakukan oleh Pengendali Data Pribadi jika mereka tidak memenuhi kewajiban untuk melindungi Data Pribadi dengan baik?,"Jika Pengendali Data Pribadi tidak memenuhi kewajibannya, mereka dapat dikenai sanksi administratif oleh Lembaga PDP, seperti peringatan tertulis, penghentian sementara kegiatan pemrosesan Data Pribadi, penghapusan atau pemusnahan Data Pribadi, atau denda administratif.","Correct 
(2) Sanksi administratif sebagaimana dimaksud pada ayat (1) meliputi: 
a. peringatan tertulis; 
b. penghentian sementara kegiatan pemrosesan Data Pribadi; 
c. penghapusan atau pemusnahan Data Pribadi; dan/atau 
d. denda administratif.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 140 Paragraph 2
Pasal 228
"
,"Dalam rangka penyelesaian sengketa, bagaimana Lembaga PDP menangani laporan sengketa dari Para Pihak yang Bersengketa?","Lembaga PDP akan melakukan verifikasi dokumen dan informasi terkait laporan sengketa, memberikan nomor registrasi, dan jika perlu, mengambil tindakan seperti memanggil Para Pihak yang Bersengketa, meminta dokumen atau informasi lebih lanjut, atau menjalankan kewenangan lain sesuai dengan peraturan perundang-undangan. Lembaga PDP kemudian memfasilitasi penyelesaian sengketa melalui mediasi atau arbitrase, tergantung pada kebijakan dan prosedur yang berlaku.","Correct 
(1) Lembaga PDP melakukan verifikasi dokumen dan informasi terhadap laporan sebagaimana dimaksud dalam Pasal 227 dan memberikan nomor registrasi. 
(2) Nomor registrasi sebagaimana dimaksud pada ayat (1) disampaikan kepada pihak yang menyampaikan laporan. 
(3) Dalam hal diperlukan untuk verifikasi, Lembaga PDP dapat: 
a. memanggil Para Pihak yang Bersengketa; 
b. meminta dokumen atau informasi lebih lanjut; dan/atau
 c. menjalankan kewenangan lain sesuai dengan peraturan perundang-undangan. (4) Hasil verifikasi sebagaimana dimaksud pada ayat (3) disusun dalam berita acara. (5) Dalam hal berdasarkan hasil verifikasi ditemukan adanya unsur pelanggaran tindak pidana, Lembaga PDP dapat 
a. meminta pelapor untuk melaporkan dugaan
pelanggaran tindak pidana tersebut ke aparat
penegak hukum; dan/atau
b. menyampaikan hasil verifikasi kepada aparat
penegak hukum.
(6) Dalam hal berdasarkan hasil verifikasi ditemukan
adanya unsur pelanggaran administratif, Lembaga PDP
harus memproses laporan tersebut dalam rangka
penegakan hukum administratif.
(7) Dalam hal berdasarkan hasil verifikasi tidak ditemukan
adanya unsur pelanggaran tindak pidana dan/atau
unsur pelanggaran administratif, Lembaga PDP
memfasilitasi penyelesaian Sengketa tersebut sebagai
suatu sengketa Para Pihak yang Bersengketa.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 140 Paragraph 2
Pasal 228
"
,"Bagaimana ""Penggunaan Data Pribadi"" dibatasi?",Penggunaan Data Pribadi dibatasi dengan memastikan bahwa penggunaan tersebut hanya dilakukan untuk tujuan yang telah disebutkan dan tidak mengganggu hak Subjek Data Pribadi.,"Correct 
(2) Tujuan pemrosesan Data Pribadi sebagaimana dimaksud pada ayat (1) harus terbatas untuk
memenuhi tujuan tertentu yang disampaikan kepada Subjek Data Pribadi secara eksplisit dan tegas.","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 47 Paragraph 4
Pasal 80
"
,"Bagaimana ""Pengawasan"" dilakukan pada Pengendali Data Pribadi?","Pengawasan dilakukan melalui pemantauan, pengendalian, pemeriksaan, dan penelusuran untuk memastikan kepatuhan dengan peraturan perundang-undangan.","Correct 
(1) Pengawasan kepatuhan sebagaimana dimaksud dalam Pasal 200 huruf b meliputi pemantauan, pengendalian, pemeriksaan, dan penelusuran.
","Rancangan Peraturan Pemerintah Tentang Peratuan Pelaksanaan UU Nomor 27 Tahun 2022
Page 125 Paragraph 3
Pasal 203
"